tag,value
Failure of RBI to stabilize economy Post-Demon,10
Negative impact on Small/Medium scale industries/employees,18
Long queues at banks and ATMs and cash crunch,28
Court verdicts & Penalties for black money hoarders,40
Negative impact on Retail/Stock markets,42
Vendors going cashless & impact Post-Demon,14
Probes and Arrests of black money hoarders,87
Suffering of farmers and Relief-measures,5
Huge deposits in PMY bank accounts,21
Negative imapct of demonetisation on Economy,77
Appreciation by PM for supporting Demonitisation,330
Negative impact of demonetisation on Real-Estate,4
Enhanced security features on new currency notes,29
Opposition unites against government on Demon-issue,287
Encouraging cashless payments Post-Demon,3
