tag,value
Suffering of farmers and Relief-measures,0.013585985
Negative impact of demonetisation on Real-Estate,0.017876296
Negative impact on Small/Medium scale industries/employees,0.0193063997
Failure of RBI to stabilize economy Post-Demon,0.0232391848
Court verdicts & Penalties for black money hoarders,0.0357525921
Long queues at banks and ATMs and cash crunch,0.036110118
Huge deposits in PMY bank accounts,0.045048266
Negative impact on Retail/Stock markets,0.0457633178
Enhanced security features on new currency notes,0.0850911691
Negative imapct of demonetisation on Economy,0.1340722202
Probes and Arrests of black money hoarders,0.1483732571
Appreciation by PM for supporting Demonitisation,0.1966392563
Vendors going cashless & impact Post-Demon,0.1991419378
