tag,value
Appreciation by PM for supporting Demonitisation,-735.3167
Huge deposits in PMY bank accounts,-471.2867
Probes and Arrests of black money hoarders,-340.2849
Enhanced security features on new currency notes,-321.0134
Court verdicts & Penalties for black money hoarders,-317.9977
Vendors going cashless & impact Post-Demon,-238.5415
Negative impact on Retail/Stock markets,-148.6633
Negative impact on Small/Medium scale industries/employees,-142.0213
Long queues at banks and ATMs and cash crunch,-127.5368
Failure of RBI to stabilize economy Post Demon,-32.0242
Suffering of farmers and Relief measures,-11.4474
Negative impact of demonetisation on Real Estate,-10.3087
Negative imapct of demonetisation on Economy,206.0398 
