tag,value
Failure of RBI to stabilize economy Post-Demon,13
Negative impact on Small/Medium scale industries/employees,57
Long queues at banks and ATMs and cash crunch,79
Court verdicts & Penalties for black money hoarders,32
Negative impact on Retail/Stock markets,13
Vendors going cashless & impact Post-Demon,32
Probes and Arrests of black money hoarders,50
Suffering of farmers and Relief-measures,12
Huge deposits in PMY bank accounts,25
Negative imapct of demonetisation on Economy,38
Appreciation by PM for supporting Demonitisation,177
Negative impact of demonetisation on Real-Estate,1
Enhanced security features on new currency notes,28
Opposition unites against government on Demon-issue,211
Encouraging cashless payments Post-Demon,1
