tag,value
Uncertainity in Impact of GST on consumer Goods,0
Revolts/Confusion with GST Rate Slabs,0
Sensex/Market rejoices on GST rollout,0.0011476664
Positive Effect of GST on GDP and Economy,0.0110941086
Nonconclusive discussion b/w center & state regarding GST,0.0153022188
Nationwide Protest to include Petroleum products under GST,0.0822494262
Traders hassles to meet GST registration deadline,0.0941086458
Training Programmes for Creating GST Awareness,0.1048201989
Fears of Capital Crunch among traders before GST Rollout,0.1220351951
GST Bill implementation in State Assemblies,0.214613619
Discussion in Parliament in support of GST,0.3546289212
