tag,value
Negative impact of demonetisation on Real-Estate,0.005565628
Suffering of farmers and Relief-measures,0.01183931
Failure of RBI to stabilize economy Post-Demon,0.025789385
Huge deposits in PMY bank accounts,0.032722891
Court verdicts & Penalties for black money hoarders,0.04252847
Probes and Arrests of black money hoarders,0.047469778
Enhanced security features on new currency notes,0.055016551
Vendors going cashless & impact Post-Demon,0.056279929
Negative impact on Retail/Stock markets,0.057608284
Encouraging cashless payments Post-Demon,0.059512729
Negative impact on Small/Medium scale industries/employees,0.060799217
Negative imapct of demonetisation on Economy,0.082301424
Long queues at banks and ATMs and cash crunch,0.11622439
Appreciation by PM for supporting Demonitisation,0.146968145
Opposition unites against government on Demon-issue,0.199373871
