tag,value
Revolts/Confusion with GST Rate Slabs,0
Uncertainity in Impact of GST on consumer Goods,0.0018039687
Positive Effect of GST on GDP and Economy,0.0021046302
Nationwide Protest to include Petroleum products under GST,0.0090198437
Sensex/Market rejoices on GST rollout,0.0129284426
Nonconclusive discussion b/w center & state regarding GST,0.0159350571
GST Bill implementation in State Assemblies,0.0977149729
Training Programmes for Creating GST Awareness,0.1031268791
Fears of Capital Crunch among traders before GST Rollout,0.1879134095
Discussion in Parliament in support of GST,0.264882742
Traders hassles to meet GST registration deadline,0.3045700541
