department,interlocks
"AGRICULTURE, FORESTRY AND FISHING",11
"Arts, entertainment and recreation",10
FINANCIAL AND INSURANCE ACTIVITIES,29
INFORMATION AND COMMUNICATION,8
MANUFACTURING,88
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",71
TRANSPORT AND STORAGE,16
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTORVEHICLES AND MOTORCYCLES,47
