ministry,interlocks
Ministry of Finance,38
Ministry of Commerce and Industry,29
Ministry of Textiles,29
Ministry of Housing and Urban Affairs,12
Ministry of Home Affairs,18
Ministry of Agriculture and Farmers Welfare,4
Ministry of Human Resource Development,13
Ministry of Power,11
