ministry,interlocks
Ministry of Finance,86
Ministry of Commerce and Industry,71
Ministry of Textiles,36
Ministry of Housing and Urban Affairs,52
Ministry of Home Affairs,44
Ministry of Agriculture and Farmers Welfare,36
Ministry of Human Resource Development,31
Ministry of Power,36
