ministry,interlocks
Ministry of Finance,50
Ministry of Commerce and Industry,47
Ministry of Textiles,21
Ministry of Housing and Urban Affairs,37
Ministry of Home Affairs,20
Ministry of Agriculture and Farmers Welfare,12
Ministry of Human Resource Development,15
Ministry of Tourism,23
