ministry,interlocks
Ministry of Finance,94
Ministry of Commerce and Industry,88
Ministry of Textiles,55
Ministry of Housing and Urban Affairs,44
Ministry of Home Affairs,45
Ministry of Agriculture and Farmers Welfare,47
Ministry of Human Resource Development,32
Ministry of Power,29
