tag,value
Negative impact of demonetisation on Real-Estate,0.013512737
Suffering of farmers and Relief-measures,0.014408011
Failure of RBI to stabilize economy Post-Demon,0.01794075
Huge deposits in PMY bank accounts,0.026399049
Court verdicts & Penalties for black money hoarders,0.027495072
Negative impact on Small/Medium scale industries/employees,0.044403018
Encouraging cashless payments Post-Demon,0.046030749
Vendors going cashless & impact Post-Demon,0.048231889
Negative impact on Retail/Stock markets,0.054524539
Enhanced security features on new currency notes,0.067697666
Probes and Arrests of black money hoarders,0.070942924
Long queues at banks and ATMs and cash crunch,0.075273335
Appreciation by PM for supporting Demonitisation,0.125103674
Negative imapct of demonetisation on Economy,0.152374484
Opposition unites against government on Demon-issue,0.215662105
