tag,value
Uncertainity in Impact of GST on consumer Goods,0.000407896
Positive Effect of GST on GDP and Economy,0.008463474
Sensex/Market rejoices on GST rollout,0.014383439
GST Bill implementation in State Assemblies,0.037964211
Training Programmes for  GST Awareness,0.068963426
Traders hassles to meet GST registration deadline,0.087163164
Revolts/Confusion with GST Rate Slabs,0.099558295
Fears of Capital Crunch among traders before GST Rollout,0.133496196
Nonconclusive discussion b/w center & state regarding GST,0.141831297
Discussion in Parliament in support of GST,0.180595031
Nationwide Protest to include Petroleum products under GST,0.22717357
