tag,value
Suffering of farmers and Relief-measures,0.0033300905
Huge deposits in PMY bank accounts,0.0038913418
Negative impact of demonetisation on Real-Estate,0.0046770935
Vendors going cashless & impact Post-Demon,0.0068098481
Long queues at banks and ATMs and cash crunch,0.0184464566
Court verdicts & Penalties for black money hoarders,0.0260794732
Negative impact on Small/Medium scale industries/employees,0.0285115618
Negative impact on Retail/Stock markets,0.0414203397
Failure of RBI to stabilize economy Post-Demon,0.0426925092
Probes and Arrests of black money hoarders,0.0722517399
Enhanced security features on new currency notes,0.1125869939
Negative imapct of demonetisation on Economy,0.1513507446
Appreciation by PM for supporting Demonitisation,0.4879518072
