tag,value
Negative impact of demonetisation on Real-Estate,0.0182002022
Suffering of farmers and Relief-measures,0.0273003033
Huge deposits in PMY bank accounts,0.0404448938
Vendors going cashless & impact Post-Demon,0.0424671385
Long queues at banks and ATMs and cash crunch,0.0455005056
Court verdicts & Penalties for black money hoarders,0.055611729
Enhanced security features on new currency notes,0.0586450961
Negative impact on Retail/Stock markets,0.0728008089
Probes and Arrests of black money hoarders,0.0808897877
Negative impact on Small/Medium scale industries/employees,0.084934277
Failure of RBI to stabilize economy Post-Demon,0.0910010111
Negative imapct of demonetisation on Economy,0.1557128413
Appreciation by PM for supporting Demonitisation,0.2264914055
