tag,value
Enhanced security features on new currency notes,-40.3044
Probes and Arrests of black money hoarders,-30.0242
Appreciation by PM for supporting Demonitisation,-17.1723
Suffering of farmers and Relief-measures,-16.5302
Negative impact on Small/Medium scale industries/employees,-7.0565
Negative impact on Retail/Stock markets,-6.8401
Huge deposits in PMY bank accounts,-2.6361
Court verdicts & Penalties for black money hoarders,-1.9255
Negative impact of demonetisation on Real-Estate,-0.5374
Long queues at banks and ATMs and cash crunch,1.1926
Failure of RBI to stabilize economy Post-Demon,3.7821
Negative imapct of demonetisation on Economy,38.5271
Vendors going cashless & impact Post-Demon,109.1626
