tag,value
Negative imapct of demonetisation on Economy,-79.7419
Probes and Arrests of black money hoarders,-51.3261
Court verdicts & Penalties for black money hoarders,-39.6899
Appreciation by PM for supporting Demonitisation,-18.3878
Failure of RBI to stabilize economy Post-Demon,-6.8776
Huge deposits in PMY bank accounts,-6.0877
Enhanced security features on new currency notes,-6.0453
Vendors going cashless & impact Post-Demon,-2.0081
Long queues at banks and ATMs and cash crunch,-0.459
Negative impact on Retail/Stock markets,-0.0432
Suffering of farmers and Relief-measures,0
Negative impact on Small/Medium scale industries/employees,0.0744
Negative impact of demonetisation on Real-Estate,0.3941
