tag,value
Negative impact of demonetisation on Real-Estate,0.011775903
Suffering of farmers and Relief-measures,0.013903259
Negative impact on Small/Medium scale industries/employees,0.021555267
Huge deposits in PMY bank accounts,0.026854548
Failure of RBI to stabilize economy Post-Demon,0.033240169
Vendors going cashless & impact Post-Demon,0.045435358
Long queues at banks and ATMs and cash crunch,0.047549916
Enhanced security features on new currency notes,0.051472432
Court verdicts & Penalties for black money hoarders,0.055688218
Negative impact on Retail/Stock markets,0.063864734
Encouraging cashless payments Post-Demon,0.066960054
Negative imapct of demonetisation on Economy,0.1125504
Probes and Arrests of black money hoarders,0.118680254
Opposition unites against government on Demon-issue,0.155490483
Appreciation by PM for supporting Demonitisation,0.174979005
