tag,value
Revolts/Confusion with GST Rate Slabs,0
Uncertainity in Impact of GST on consumer Goods,0.0002485501
Positive Effect of GST on GDP and Economy,0.0014084507
Nationwide Protest to include Petroleum products under GST,0.001905551
Nonconclusive discussion b/w center & state regarding GST,0.001988401
Sensex/Market rejoices on GST rollout,0.0029826015
GST Bill implementation in State Assemblies,0.0068765534
Traders hassles to meet GST registration deadline,0.0091135046
Fears of Capital Crunch among traders before GST Rollout,0.0138359569
Discussion in Parliament in support of GST,0.0389395195
Training Programmes for Creating GST Awareness,0.9227009114
