tag,value
Negative impact of demonetisation on Real-Estate,0.0157190977
Failure of RBI to stabilize economy Post-Demon,0.0159232418
Suffering of farmers and Relief-measures,0.0176584669
Court verdicts & Penalties for black money hoarders,0.0326630601
Huge deposits in PMY bank accounts,0.0346024293
Negative impact on Retail/Stock markets,0.0433806267
Vendors going cashless & impact Post-Demon,0.04552414
Negative impact on Small/Medium scale industries/employees,0.0677758497
Probes and Arrests of black money hoarders,0.0782892722
Long queues at banks and ATMs and cash crunch,0.0846177401
Enhanced security features on new currency notes,0.1044197203
Negative imapct of demonetisation on Economy,0.1242217005
Appreciation by PM for supporting Demonitisation,0.3352046545
