tag,value
Suffering of farmers and Relief-measures,0.003486817
Negative impact of demonetisation on Real-Estate,0.008251667
Negative impact on Small/Medium scale industries/employees,0.011175316
Failure of RBI to stabilize economy Post-Demon,0.01758441
Vendors going cashless & impact Post-Demon,0.019937484
Huge deposits in PMY bank accounts,0.025732387
Long queues at banks and ATMs and cash crunch,0.036051017
Enhanced security features on new currency notes,0.046732566
Encouraging cashless payments Post-Demon,0.047551671
Court verdicts & Penalties for black money hoarders,0.055060768
Probes and Arrests of black money hoarders,0.07779983
Negative impact on Retail/Stock markets,0.083107824
Negative imapct of demonetisation on Economy,0.142033689
Opposition unites against government on Demon-issue,0.197112287
Appreciation by PM for supporting Demonitisation,0.228382269
